"","Song","Singer","singer gender","genre","Location in Top 100","Location In Playlist","Total Number of Lines","Count Check","prop_type","prop_values"
"549","Legendary","Welshly Arms","Male","Rock This",NA,9,52,0,"Woman talk Men",0
"550","Little One","Highly Suspect","Male","Rock This",NA,10,32,0,"Woman talk Men",0
"551","Go To War","Nothing More","Male","Rock This",NA,11,67,0,"Woman talk Men",0
"552","Freeze Me","Death From Above 1979","Male","Rock This",NA,12,20,0,"Woman talk Men",0
"553","Come Together","Gary Clark Jr.","Male","Rock This",NA,13,20,0,"Woman talk Men",0
"554","No Good","Kaleo","Male","Rock This",NA,14,54,0,"Woman talk Men",0
"555","Love Is Mystical","Cold War Kids","Male","Rock This",NA,15,55,0,"Woman talk Men",0
"556","The Man","The Killers","Male","Rock This",NA,16,60,0,"Woman talk Men",0
"557","Walk On Water","Thirty Seconds to Mars","Male","Rock This",NA,17,55,0,"Woman talk Men",0
"558","Believer","Imagine Dragons","Male","Rock This",20,18,52,0,"Woman talk Men",0
"559","Cold Cold Cold","Cage The Elephant","Male","Rock This",NA,19,34,0,"Woman talk Men",0
"560","Sorry","Nothing But Thieves","Male","Rock This",NA,20,44,0,"Woman talk Men",0
"561","It's A Trip","Joywave","Male","Rock This",NA,21,41,0,"Woman talk Men",0
"562","Cocoon","Milky Chance","Male","Rock This",NA,22,59,0,"Woman talk Men",0
"563","Reverend","Kings Of Leon","Male","Rock This",NA,23,31,0,"Woman talk Men",0
"564","One More Light","Linkin Park","Male","Rock This",NA,24,36,0,"Woman talk Men",0
"565","Sweet Desaster","Dreamers","Male","Rock This",NA,25,38,0,"Woman talk Men",0
"566","Roman Sky","Avenged Sevenfold","Male","Rock This",NA,26,15,0,"Woman talk Men",0
"567","Vacation","The Dirty Heads","Male","Rock This",NA,27,61,0,"Woman talk Men",0
"568","We Fight","Dashboard Confessional","Male","Rock This",NA,28,62,0,"Woman talk Men",0
"569","Get Right","Jimmy Eat World","Male","Rock This",NA,29,24,0,"Woman talk Men",0
"570","American Soul","U2","Male","Rock This",NA,30,61,0,"Woman talk Men",0
"571","DNA","BTS","Male","K-Pop",NA,1,62,0,"Woman talk Men",0
"572","Bang Bang Bang","BigBang","Male","K-Pop",NA,2,73,0,"Woman talk Men",0
"573","As If It's Your Last","BlackPink","Female","K-Pop",NA,3,61,0,"Woman talk Men",0
"574","Stay With Me","Chanyeol","Male","K-Pop",NA,4,50,0,"Woman talk Men",0
"575","Ko Ko Bop","Exo","Male","K-Pop",NA,5,55,0,"Woman talk Men",0
"576","Blood Sweat Tears","BTS","Male","K-Pop",NA,6,60,0,"Woman talk Men",0
"577","Boombayah","BlackPink","Female","K-Pop",NA,7,71,0,"Woman talk Men",0.028169014084507
"578","FXXK It","BigBang","Male","K-Pop",NA,8,109,0,"Woman talk Men",0
"579","Monster","Exo","Male","K-Pop",NA,9,72,0,"Woman talk Men",0
"580","Beautiful","Crush","Male","K-Pop",NA,10,42,0,"Woman talk Men",0
"581","Spring Day","BTS","Male","K-Pop",NA,11,84,0,"Woman talk Men",0
"582","Playing With Fire","BlackPink","Female","K-Pop",NA,12,51,0,"Woman talk Men",0.235294117647059
"583","Really Really","Winner","Male","K-Pop",NA,13,76,0,"Woman talk Men",0
"584","Don't Recall","Kard","Both","K-Pop",NA,14,64,0,"Woman talk Men",0.078125
"585","Don't Want To Cry","Seventeen","Male","K-Pop",NA,15,41,0,"Woman talk Men",0
"586","Not Today","BTS","Male","K-Pop",NA,16,21,0,"Woman talk Men",0
"587","Whistle","BlackPink","Female","K-Pop",NA,17,72,0,"Woman talk Men",0.0416666666666667
"588","Oh NaNa","Kard","Both","K-Pop",NA,18,69,0,"Woman talk Men",0.0579710144927536
"589","Call Me Baby","Exo","Male","K-Pop",NA,19,88,0,"Woman talk Men",0
"590","Gashina-Sunm","Sunmi","Female","K-Pop",NA,20,54,0,"Woman talk Men",0
"591","Russian Roulette","Red Velvet","Female","K-Pop",NA,21,70,0,"Woman talk Men",0
"592","Go Go","BTS","Male","K-Pop",NA,22,82,0,"Woman talk Men",0
"593","The Eve","Exo","Male","K-Pop",NA,23,53,0,"Woman talk Men",0
"594","Stay","BlackPink","Female","K-Pop",NA,24,57,0,"Woman talk Men",0
"595","Dope","BTS","Male","K-Pop",NA,25,82,0,"Woman talk Men",0
"596","Lotto","Exo","Male","K-Pop",NA,26,62,0,"Woman talk Men",0
"597","Red Flavor","Red Velvet","Female","K-Pop",NA,27,47,0,"Woman talk Men",0
"598","Very Very","I.O.I.","Female","K-Pop",NA,28,75,0,"Woman talk Men",0.04
"599","Palette","IU","Female","K-Pop",NA,29,56,0,"Woman talk Men",0
"600","Very Nice","Seventeen","Male","K-Pop",NA,30,70,0,"Woman talk Men",0
"601","If You Need To, Keep Time on Me","Fleet Foxes","Male","Fresh Folk",NA,1,18,0,"Woman talk Men",0
"602","Chateau","Angus & Julia Stone","Both","Fresh Folk",NA,2,52,0,"Woman talk Men",0.326923076923077
"603","Minimum","Charlie Cunningham","Male","Fresh Folk",NA,3,36,0,"Woman talk Men",0
"604","A Closeness","Dermot Kennedy","Male","Fresh Folk",NA,4,44,0,"Woman talk Men",0
"605","Carry You","Novo Amor","Male","Fresh Folk",NA,5,23,0,"Woman talk Men",0
"606","Colder Heavens","Blanco White","Male","Fresh Folk",NA,6,39,0,"Woman talk Men",0
"607","The Meetings of the Waters","Fionn Regan","Male","Fresh Folk",NA,7,40,0,"Woman talk Men",0
"608","Six Years","A Blaze of Feather","Male","Fresh Folk",NA,8,39,0,"Woman talk Men",0
"609","You Would Have to Lose Your Mind","The Barr Brothers","Male","Fresh Folk",NA,9,34,0,"Woman talk Men",0
"610","Silver Lining","Mnt. Joy","Male","Fresh Folk",NA,10,39,0,"Woman talk Men",0
"611","Lay It On Me","Vance Joy","Male","Fresh Folk",NA,11,33,0,"Woman talk Men",0
"612","Never Break","Langhorne Slim","Male","Fresh Folk",NA,12,23,0,"Woman talk Men",0
"613","Horizon","Aldous Harding","Female","Fresh Folk",NA,13,42,0,"Woman talk Men",0
"614","Bruises","Lewis Capaldi","Male","Fresh Folk",NA,14,41,0,"Woman talk Men",0
"615","Call it Dreaming","Iron and Wine","Male","Fresh Folk",NA,15,31,0,"Woman talk Men",0
"616","Little Lies","I'm with Her","Female","Fresh Folk",NA,16,41,0,"Woman talk Men",0.024390243902439
"617","Only Lonely","The Ballroom Thieves","Both","Fresh Folk",NA,17,52,0,"Woman talk Men",0
"618","Subterranean Homesick Bluse","Andrew Bird","Male","Fresh Folk",NA,18,71,0,"Woman talk Men",0
"619","It's A Shame","First Aid Kit","Female","Fresh Folk",NA,19,40,0,"Woman talk Men",0
"620","Coming Down the Mountain","Mipso","Female","Fresh Folk",NA,20,30,0,"Woman talk Men",0
"621","At the Purchaser's Option","Rhiannon Gibbons","Female","Fresh Folk",NA,21,44,0,"Woman talk Men",0.0681818181818182
"622","My Arms Were Always Around You","Peter Bradley Adams","Male","Fresh Folk",NA,22,40,0,"Woman talk Men",0
"623","Ballad of the Dying Man","Father John Misty","Male","Fresh Folk",NA,23,27,0,"Woman talk Men",0
"624","Thirty","The Weather Station","Female","Fresh Folk",NA,24,66,0,"Woman talk Men",0.0151515151515152
"625","Standing In The Doorway","Hiss Golden Messenger","Male","Fresh Folk",NA,25,36,0,"Woman talk Men",0
"626","Motion Sickness","Phoebe Bridgers","Female","Fresh Folk",NA,26,35,0,"Woman talk Men",0
"627","Nobody's Fool","Shakey Graves","Male","Fresh Folk",NA,27,27,0,"Woman talk Men",0
"628","Blind in the Fray","The Last Revel","Male","Fresh Folk",NA,28,31,0,"Woman talk Men",0
"629","If We Were Vampires","Jason Isbell","Male","Fresh Folk",NA,29,28,0,"Woman talk Men",0
"630","Mind On Fire","Aisha Badru","Female","Fresh Folk",NA,30,22,0,"Woman talk Men",0
"631","Old Church Choir","Zack Williams","Male","Christian Hits",NA,20,38,0,"Woman talk Men",0
"632","Word of Life","Jeremy Camp","Male","Christian Hits",NA,21,52,0,"Woman talk Men",0
"633","Gracefully Broken","Matt Redman","Male","Christian Hits",NA,22,107,0,"Woman talk Men",0.121495327102804
"634","King of the World","Natalie Grant","Female","Christian Hits",NA,23,28,0,"Woman talk Men",0.857142857142857
"635","The Gospel","Ryan Stevenson","Male","Christian Hits",NA,24,64,0,"Woman talk Men",0
"636","Bulletproof","Citizen Way","Male","Christian Hits",NA,25,59,0,"Woman talk Men",0
"637","Take Courage","Kristene Dimarco","Female","Christian Hits",NA,26,35,0,"Woman talk Men",0.571428571428571
"638","Point to You","We Are Messengers","Male","Christian Hits",NA,27,59,0,"Woman talk Men",0
"639","The Comeback","Danny Gokey","Male","Christian Hits",NA,28,37,0,"Woman talk Men",0
"640","In the Name of Love","Kari Jobe","Female","Christian Hits",NA,29,37,0,"Woman talk Men",0.0540540540540541
"641","Control","Tenth Avenue North","Male","Christian Hits",NA,30,67,0,"Woman talk Men",0
"642","Hills and valleys","Tauren Wells","Male","Christian Hits",NA,1,67,0,"Woman talk Men",0
"643","What a Beautiful Name","Hillsong Kiev","Female","Christian Hits",NA,2,57,0,"Woman talk Men",0.824561403508772
"644","Even If","MercyMe","Male","Christian Hits",NA,3,47,0,"Woman talk Men",0
"645","O Come to the Altar","Elevation Worship","Male","Christian Hits",NA,4,46,0,"Woman talk Men",0
"646","Wonder","Hillsong United","Female","Christian Hits",NA,5,40,0,"Woman talk Men",0.25
"647","Chain Breaker","Zack Williams","Male","Christian Hits",NA,6,50,0,"Woman talk Men",0.28
"648","Home","Chris Tomlin","Female","Christian Hits",NA,7,56,0,"Woman talk Men",0.0892857142857143
"649","I'll Find You","Lecrae","Both","Christian Hits",NA,8,85,0,"Woman talk Men",0
"650","Broken Things","Matthew West","Male","Christian Hits",NA,9,23,0,"Woman talk Men",0
"651","Peace Be Still","The Belonging Co","Female","Christian Hits",NA,10,107,0,"Woman talk Men",0.14018691588785
"652","Death Was Arrested","North Point InsideOut","Male","Christian Hits",NA,11,56,0,"Woman talk Men",0
"653","I Have This Hope","Tenth Avenue North","Male","Christian Hits",NA,12,40,0,"Woman talk Men",0
"654","So Will I","100 Billion X","Male","Christian Hits",NA,13,57,0,"Woman talk Men",0
"655","Throne Room","Kim Walker-Smith","Female","Christian Hits",NA,14,48,0,"Woman talk Men",0.375
"656","O God Forgive Us","for King and Country","Male","Christian Hits",NA,15,36,0,"Woman talk Men",0
"657","The Cause of Christ","Kari Jobe","Female","Christian Hits",NA,16,39,0,"Woman talk Men",0.41025641025641
"658","Reckless Love","Cory Asbury","Male","Christian Hits",NA,17,44,0,"Woman talk Men",0
"659","Oh My Soul","Casting Crowns","Male","Christian Hits",NA,18,40,0,"Woman talk Men",0
"660","Thy Will","Hillary Scott","Female","Christian Hits",NA,19,47,0,"Woman talk Men",0.468085106382979
"661","Body like a back road","sam hunt","Male","Hot Country",98,1,17,0,"Woman talk Men",0
"662","meant to be","bebe rexha","Female","Hot Country",NA,2,45,0,"Woman talk Men",0.0666666666666667
"663","what ifs","kane brown","Male","Hot Country",NA,3,43,0,"Woman talk Men",0
"664","unforgettable","thomas rhett","Male","Hot Country",NA,4,49,0,"Woman talk Men",0
"665","craving you","thomas rhett","Male","Hot Country",NA,5,52,0,"Woman talk Men",0
"666","all on me","devin dawson","Male","Hot Country",NA,6,55,0,"Woman talk Men",0
"667","close","ryan kinder","Male","Hot Country",NA,7,42,0,"Woman talk Men",0
"668","hurricane","luke combs","Male","Hot Country",NA,8,50,0,"Woman talk Men",0
"669","blue tacoma","russell dickerson","Male","Hot Country",NA,9,66,0,"Woman talk Men",0
"670","in case you didnt know","brett young","Male","Hot Country",NA,10,44,0,"Woman talk Men",0
"671","man enough now","chris bandi","Male","Hot Country",NA,11,42,0,"Woman talk Men",0
"672","small town boy","dustin lynch","Male","Hot Country",NA,12,57,0,"Woman talk Men",0
"673","i could use a love song","maren morris","Female","Hot Country",NA,13,44,0,"Woman talk Men",0
"674","getting over you","jackie lee","Male","Hot Country",NA,14,24,0,"Woman talk Men",0
"675","more girls like you","kip moore","Male","Hot Country",NA,15,38,0,"Woman talk Men",0
"676","may we all","florida georgia line","Male","Hot Country",NA,16,20,0,"Woman talk Men",0
"677","losing sleep","chris young","Male","Hot Country",NA,17,41,0,"Woman talk Men",0
"678","you broke up with me","walker hayes","Male","Hot Country",NA,18,46,0,"Woman talk Men",0
"679","sunday morning","parMalee","Male","Hot Country",NA,19,40,0,"Woman talk Men",0
"680","star of the show","thomas rhett","Male","Hot Country",NA,20,37,0,"Woman talk Men",0
"681","heartache on the dance floor","jon pardi","Male","Hot Country",NA,21,39,0,"Woman talk Men",0
"682","singles you up","jordan davis","Male","Hot Country",NA,22,37,0,"Woman talk Men",0
"683","no such thing as a broken heart","old dominion","Male","Hot Country",NA,23,31,0,"Woman talk Men",0
"684","written in the sand","old dominion","Male","Hot Country",NA,24,21,0,"Woman talk Men",0
"685","sleep without you","brett young","Male","Hot Country",NA,25,45,0,"Woman talk Men",0
"686","when it rains it pours","luke combs","Male","Hot Country",NA,26,36,0,"Woman talk Men",0
"687","happens like that","granger smith","Male","Hot Country",NA,27,42,0,"Woman talk Men",0
"688","hooked","dylan scott","Male","Hot Country",NA,28,61,0,"Woman talk Men",0
"689","hometown girl","josh turner","Male","Hot Country",NA,29,29,0,"Woman talk Men",0
"690","kiss somebody","morgan evans","Male","Hot Country",NA,30,57,0,"Woman talk Men",0
"691","different now","chastity belt","Female","Ultimate Indie",NA,1,15,0,"Woman talk Men",0
"692","virtue","kllo","Female","Ultimate Indie",NA,2,45,0,"Woman talk Men",0
"693","now and then","sjowgren","Female","Ultimate Indie",NA,3,21,0,"Woman talk Men",0
"694","fallss","bayonne","Male","Ultimate Indie",NA,4,16,0,"Woman talk Men",0
"695","gold angel","minke","Male","Ultimate Indie",NA,5,24,0,"Woman talk Men",0
"696","anemone","slenderbodies","Male","Ultimate Indie",NA,6,33,0,"Woman talk Men",0
"697","dreams tonite","alvvays","Female","Ultimate Indie",NA,7,16,0,"Woman talk Men",0
"698","down the line","beach fossils","Male","Ultimate Indie",NA,8,22,0,"Woman talk Men",0
"699","goodpain","yoke lore","Male","Ultimate Indie",NA,9,15,0,"Woman talk Men",0
"700","star roving","slowdive","Male","Ultimate Indie",NA,10,32,0,"Woman talk Men",0
"701","this time","land of talk","Female","Ultimate Indie",NA,11,22,0,"Woman talk Men",0.0454545454545455
"702","olly","cape francis","Male","Ultimate Indie",NA,12,21,0,"Woman talk Men",0
"703","begin","shallou","Male","Ultimate Indie",NA,13,25,0,"Woman talk Men",0
"704","my god has a telephone","the flying stars of brooklyn ny","Female","Ultimate Indie",NA,14,26,0,"Woman talk Men",0
"705","depths pt 1","yumi zouma","Female","Ultimate Indie",NA,15,20,0,"Woman talk Men",0
"706","live well","palace","Male","Ultimate Indie",NA,16,44,0,"Woman talk Men",0
"707","chateau","angus & julia stone","Both","Ultimate Indie",NA,17,42,0,"Woman talk Men",0
"708","appointments","julien baker","Female","Ultimate Indie",NA,18,31,0,"Woman talk Men",0
"709","going home","twist","Female","Ultimate Indie",NA,19,25,0,"Woman talk Men",0.04
"710","ancient water","future islands","Male","Ultimate Indie",NA,20,32,0,"Woman talk Men",0
"711","here if you want","MOSSS","Male","Ultimate Indie",NA,21,18,0,"Woman talk Men",0
"712","come home","the undercover dream lovers","Male","Ultimate Indie",NA,22,31,0,"Woman talk Men",0
"713","tell me","bros","Male","Ultimate Indie",NA,23,37,0,"Woman talk Men",0
"714","darling","real estate","Male","Ultimate Indie",NA,24,17,0,"Woman talk Men",0
"715","nervous","magic bronson","Male","Ultimate Indie",NA,25,30,0,"Woman talk Men",0
"716","bike dream","rostam","Male","Ultimate Indie",NA,26,50,0,"Woman talk Men",0
"717","sheep","mt. dream","Male","Ultimate Indie",NA,27,30,0,"Woman talk Men",0
"718","die young","sylvan esso","Female","Ultimate Indie",NA,28,45,0,"Woman talk Men",0.311111111111111
"719","the night we met","lord huron","Male","Ultimate Indie",NA,29,24,0,"Woman talk Men",0
"720","yam yam","no vacation","Female","Ultimate Indie",NA,30,20,0,"Woman talk Men",0
"721","XO TOUR Llif3","Lil Uzi Vert","Male","RapCaviar",11,1,72,0,"Woman not talk Men",0.0138888888888889
"722","Butterfly Effect","Travis Scott","Male","RapCaviar",NA,2,51,0,"Woman not talk Men",0
"723","Slippery","Migos","Male","RapCaviar",NA,3,107,0,"Woman not talk Men",0
"724","Bank Account","21 Savage","Male","RapCaviar",95,4,80,0,"Woman not talk Men",0
"725","Magnolia","Playboi Carti","Male","RapCaviar",NA,5,62,0,"Woman not talk Men",0
"726","Portland","Drake","Male","RapCaviar",NA,6,97,0,"Woman not talk Men",0
"727","Roll in Peace","Kodak Black","Male","RapCaviar",NA,7,98,0,"Woman not talk Men",0
"728","No Complaints","Metro Boomin","Male","RapCaviar",NA,8,102,0,"Woman not talk Men",0
"729","Water","Ugly God","Male","RapCaviar",NA,9,41,0,"Woman not talk Men",0
"730","The Way Life Goes","Lil Uzi Vert","Male","RapCaviar",NA,10,68,0,"Woman not talk Men",0
"731","Unforgettable","French Montana","Male","RapCaviar",8,11,77,0,"Woman not talk Men",0
"732","DNA","Kendrick Lamar","Male","RapCaviar",61,12,100,0,"Woman not talk Men",0
"733","Bodak Yellow","Cardi B","Female","RapCaviar",NA,13,58,0,"Woman not talk Men",0.862068965517241
"734","Drowning","A Boogie Wit da Hoodie","Male","RapCaviar",NA,14,57,0,"Woman not talk Men",0
"735","T-Shirt","Migos","Male","RapCaviar",NA,15,64,0,"Woman not talk Men",0
"736","Plain Jane","A$AP Ferg","Male","RapCaviar",NA,16,56,0,"Woman not talk Men",0
"737","I Get the Bag","Gucci Mane","Male","RapCaviar",NA,17,119,0,"Woman not talk Men",0
"738","Perplexing Pegasus","Rae Sremmurd","Male","RapCaviar",NA,18,52,0,"Woman not talk Men",0
"739","Swang","Rae Sremmurd","Male","RapCaviar",NA,19,51,0,"Woman not talk Men",0
"740","wokeuplikethis*","Playboi Carti","Male","RapCaviar",NA,20,73,0,"Woman not talk Men",0
"741","Rake it Up","Yo Gotti (Ft. Nicki Minaj)","Both","RapCaviar",NA,21,82,0,"Woman not talk Men",0.170731707317073
"742","HUMBLE.","Kendrick Lamar","Male","RapCaviar",6,22,70,0,"Woman not talk Men",0
"743","iSpy","Kyle","Male","RapCaviar",46,23,80,0,"Woman not talk Men",0
"744","Rockstar","Post Malone","Male","RapCaviar",38,24,65,0,"Woman not talk Men",0
"745","Met Gala","Gucci Mane","Male","RapCaviar",NA,25,110,0,"Woman not talk Men",0
"746","Tunnel Vision","Kodak Black","Male","RapCaviar",NA,26,69,0,"Woman not talk Men",0
"747","1-800-273-8266","Logic (Ft. Alessia Cara)","Both","RapCaviar",36,27,93,0,"Woman not talk Men",0.10752688172043
"748","Perfect Pint","Mike WiLL Made-it","Male","RapCaviar",NA,28,65,0,"Woman not talk Men",0
"749","Gyalchester","Drake","Male","RapCaviar",NA,29,42,0,"Woman not talk Men",0
"750","Crew REMIX","Goldlink","Male","RapCaviar",NA,30,75,0,"Woman not talk Men",0
"751","Ahora Dice","Chris Jeday","Male","Trap Land",93,1,92,0,"Woman not talk Men",0
"752","Bodak Yellow","Cardi B (Ft. Messiah)","Both","Trap Land",NA,2,66,0,"Woman not talk Men",0.636363636363636
"753","No Te Hagas","Jory Boy","Male","Trap Land",NA,3,70,0,"Woman not talk Men",0
"754","Pa Ti","Bad Bunny","Male","Trap Land",NA,4,62,0,"Woman not talk Men",0
"755","Krippy Kush","Farruko","Male","Trap Land",NA,5,77,0,"Woman not talk Men",0
"756","Vuelve","Daddy Yankee","Male","Trap Land",NA,6,95,0,"Woman not talk Men",0
"757","47 - Remix","Anuel Aa","Male","Trap Land",NA,7,204,0,"Woman not talk Men",0
"758","Doble Personalidad","Trap Capos","Male","Trap Land",NA,8,79,0,"Woman not talk Men",0
"759","Lo Siento","Kaydy Cain","Male","Trap Land",NA,9,79,0,"Woman not talk Men",0
"760","Ahora Me Llama","Karol G","Both","Trap Land",NA,10,61,0,"Woman not talk Men",0.360655737704918
"761","Nunca Me Amo","Jon Z","Male","Trap Land",NA,11,69,0,"Woman not talk Men",0
"762","Me Llueven","Mark B","Male","Trap Land",NA,12,86,0,"Woman not talk Men",0
"763","Male Mujer","C. Tangana","Male","Trap Land",NA,13,49,0,"Woman not talk Men",0
"764","Angel y Diabla","Hadrian","Male","Trap Land",NA,14,52,0,"Woman not talk Men",0
"765","Haters - Remix","J Alvarez","Male","Trap Land",NA,15,127,0,"Woman not talk Men",0
"766","Que Tengo Que Hacer","Lary Over","Male","Trap Land",NA,16,58,0,"Woman not talk Men",0
"767","Chambea","Bad Bunny","Male","Trap Land",NA,17,51,0,"Woman not talk Men",0
"768","Sexto Sentido","Gigolo Y la Exce","Male","Trap Land",NA,18,63,0,"Woman not talk Men",0
"769","Loca","Cazzu (Ft. Khea)","Both","Trap Land",NA,19,79,0,"Woman not talk Men",0
"770","Luna Llena","Paulo Londra","Male","Trap Land",NA,20,65,0,"Woman not talk Men",0
"771","Todo Poderoso","Almigthy","Male","Trap Land",NA,21,89,0,"Woman not talk Men",0
"772","Por Ti","Fuego","Male","Trap Land",NA,22,51,0,"Woman not talk Men",0
"773","Demasiao Tarde","C. Tangana","Male","Trap Land",NA,23,78,0,"Woman not talk Men",0
"774","Amigos y Enemigos","Trap Capos","Male","Trap Land",NA,24,122,0,"Woman not talk Men",0
"775","Sensualidad","Bad Bunny","Male","Trap Land",NA,25,75,0,"Woman not talk Men",0
"776","Explicale","Yandel","Male","Trap Land",NA,26,76,0,"Woman not talk Men",0
"777","GPS","Maluma","Male","Trap Land",NA,27,72,0,"Woman not talk Men",0
"778","Diabla","Farruko","Male","Trap Land",NA,28,63,0,"Woman not talk Men",0
"779","Viajo sin ver","Jon Z","Male","Trap Land",NA,29,90,0,"Woman not talk Men",0
"780","Stripper","Andy Rivera","Male","Trap Land",NA,30,72,0,"Woman not talk Men",0
"781","I feel it still","Portugal. The Man.","Male","Rock This",NA,1,46,0,"Woman not talk Men",0
"782","Lights Out","Royal Blood","Male","Rock This",NA,2,34,0,"Woman not talk Men",0
"783","The Sky Is A Neighborhood","Foo Fighters","Male","Rock This",NA,3,72,0,"Woman not talk Men",0
"784","The Way You Used To Do","Queens of The Stone Age","Male","Rock This",NA,4,39,0,"Woman not talk Men",0
"785","Rx","A Theory of A Deadman","Male","Rock This",NA,5,75,0,"Woman not talk Men",0
"786","Highway Tune","Greta Van Fleet","Male","Rock This",NA,6,37,0,"Woman not talk Men",0
"787","Young Lady You're Scaring Me","Ron Gallo","Male","Rock This",NA,7,23,0,"Woman not talk Men",0
"788","Jungle","Tash Sultana","Female","Rock This",NA,8,45,0,"Woman not talk Men",0.844444444444444
"789","Legendary","Welshly Arms","Male","Rock This",NA,9,52,0,"Woman not talk Men",0
"790","Little One","Highly Suspect","Male","Rock This",NA,10,32,0,"Woman not talk Men",0
"791","Go To War","Nothing More","Male","Rock This",NA,11,67,0,"Woman not talk Men",0
"792","Freeze Me","Death From Above 1979","Male","Rock This",NA,12,20,0,"Woman not talk Men",0
"793","Come Together","Gary Clark Jr.","Male","Rock This",NA,13,20,0,"Woman not talk Men",0
"794","No Good","Kaleo","Male","Rock This",NA,14,54,0,"Woman not talk Men",0
"795","Love Is Mystical","Cold War Kids","Male","Rock This",NA,15,55,0,"Woman not talk Men",0
"796","The Man","The Killers","Male","Rock This",NA,16,60,0,"Woman not talk Men",0
"797","Walk On Water","Thirty Seconds to Mars","Male","Rock This",NA,17,55,0,"Woman not talk Men",0
"798","Believer","Imagine Dragons","Male","Rock This",20,18,52,0,"Woman not talk Men",0
"799","Cold Cold Cold","Cage The Elephant","Male","Rock This",NA,19,34,0,"Woman not talk Men",0
"800","Sorry","Nothing But Thieves","Male","Rock This",NA,20,44,0,"Woman not talk Men",0
"801","It's A Trip","Joywave","Male","Rock This",NA,21,41,0,"Woman not talk Men",0
"802","Cocoon","Milky Chance","Male","Rock This",NA,22,59,0,"Woman not talk Men",0
"803","Reverend","Kings Of Leon","Male","Rock This",NA,23,31,0,"Woman not talk Men",0
"804","One More Light","Linkin Park","Male","Rock This",NA,24,36,0,"Woman not talk Men",0
"805","Sweet Desaster","Dreamers","Male","Rock This",NA,25,38,0,"Woman not talk Men",0
"806","Roman Sky","Avenged Sevenfold","Male","Rock This",NA,26,15,0,"Woman not talk Men",0
"807","Vacation","The Dirty Heads","Male","Rock This",NA,27,61,0,"Woman not talk Men",0
"808","We Fight","Dashboard Confessional","Male","Rock This",NA,28,62,0,"Woman not talk Men",0
"809","Get Right","Jimmy Eat World","Male","Rock This",NA,29,24,0,"Woman not talk Men",0
"810","American Soul","U2","Male","Rock This",NA,30,61,0,"Woman not talk Men",0
"811","DNA","BTS","Male","K-Pop",NA,1,62,0,"Woman not talk Men",0
"812","Bang Bang Bang","BigBang","Male","K-Pop",NA,2,73,0,"Woman not talk Men",0
"813","As If It's Your Last","BlackPink","Female","K-Pop",NA,3,61,0,"Woman not talk Men",0.377049180327869
"814","Stay With Me","Chanyeol","Male","K-Pop",NA,4,50,0,"Woman not talk Men",0
"815","Ko Ko Bop","Exo","Male","K-Pop",NA,5,55,0,"Woman not talk Men",0
"816","Blood Sweat Tears","BTS","Male","K-Pop",NA,6,60,0,"Woman not talk Men",0
"817","Boombayah","BlackPink","Female","K-Pop",NA,7,71,0,"Woman not talk Men",0.943661971830986
"818","FXXK It","BigBang","Male","K-Pop",NA,8,109,0,"Woman not talk Men",0
"819","Monster","Exo","Male","K-Pop",NA,9,72,0,"Woman not talk Men",0
"820","Beautiful","Crush","Male","K-Pop",NA,10,42,0,"Woman not talk Men",0
"821","Spring Day","BTS","Male","K-Pop",NA,11,84,0,"Woman not talk Men",0
"822","Playing With Fire","BlackPink","Female","K-Pop",NA,12,51,0,"Woman not talk Men",0.607843137254902
"823","Really Really","Winner","Male","K-Pop",NA,13,76,0,"Woman not talk Men",0
"824","Don't Recall","Kard","Both","K-Pop",NA,14,64,0,"Woman not talk Men",0.53125
"825","Don't Want To Cry","Seventeen","Male","K-Pop",NA,15,41,0,"Woman not talk Men",0
"826","Not Today","BTS","Male","K-Pop",NA,16,21,0,"Woman not talk Men",0
"827","Whistle","BlackPink","Female","K-Pop",NA,17,72,0,"Woman not talk Men",0.888888888888889
"828","Oh NaNa","Kard","Both","K-Pop",NA,18,69,0,"Woman not talk Men",0.376811594202899
"829","Call Me Baby","Exo","Male","K-Pop",NA,19,88,0,"Woman not talk Men",0
"830","Gashina-Sunm","Sunmi","Female","K-Pop",NA,20,54,0,"Woman not talk Men",1
"831","Russian Roulette","Red Velvet","Female","K-Pop",NA,21,70,0,"Woman not talk Men",1
"832","Go Go","BTS","Male","K-Pop",NA,22,82,0,"Woman not talk Men",0
"833","The Eve","Exo","Male","K-Pop",NA,23,53,0,"Woman not talk Men",0
"834","Stay","BlackPink","Female","K-Pop",NA,24,57,0,"Woman not talk Men",0.842105263157895
"835","Dope","BTS","Male","K-Pop",NA,25,82,0,"Woman not talk Men",0
"836","Lotto","Exo","Male","K-Pop",NA,26,62,0,"Woman not talk Men",0
"837","Red Flavor","Red Velvet","Female","K-Pop",NA,27,47,0,"Woman not talk Men",0.936170212765957
"838","Very Very","I.O.I.","Female","K-Pop",NA,28,75,0,"Woman not talk Men",0.96
"839","Palette","IU","Female","K-Pop",NA,29,56,0,"Woman not talk Men",1
"840","Very Nice","Seventeen","Male","K-Pop",NA,30,70,0,"Woman not talk Men",0
"841","If You Need To, Keep Time on Me","Fleet Foxes","Male","Fresh Folk",NA,1,18,0,"Woman not talk Men",0
"842","Chateau","Angus & Julia Stone","Both","Fresh Folk",NA,2,52,0,"Woman not talk Men",0.0576923076923077
